symbol,time_ist,spot,pcr,pcr_score,doi_net,oi_bias_score,atm_ce_iv,atm_pe_iv,iv_skew,fut_near_price,fut_next_price,fut_near_oi,fut_near_chg_oi,basis,basis_pct_ann,roll_spread,fut_regime,fut_regime_score,dte,fut_price_change,sentiment_score,sentiment_label,error
ABB,2025-11-01 22:50:27,5224.0,0.9316124060874591,-0.1693224039391602,-56.0,-0.7615941559557649,26.95,27.88,0.9299999999999997,,,,,,,,,0.0,,,-0.18472712029298316,Neutral,
APLAPOLLO,2025-11-01 22:50:27,1796.8,0.6051366776809853,-0.7561480090738205,351.0,0.7615941559557649,21.62,25.31,3.6899999999999977,,,,,,,,,0.0,,,-0.01173204273865762,Neutral,
AUBANK,2025-11-01 22:50:27,876.0,1.0654554504728722,0.1621934866009549,-58.0,-0.7615941559557649,23.19,23.74,0.5499999999999972,,,,,,,,,0.0,,,-0.0927049381894236,Neutral,
ADANIENT,2025-11-01 22:50:27,2474.9,0.8986394276498078,-0.24811338417384196,5601.0,0.7615941559557649,32.79,35.66,2.8699999999999974,,,,,,,,,0.0,,,0.12971389977933317,Neutral,
ADANIPORTS,2025-11-01 22:50:27,1450.5,0.7644178057159564,-0.5291439659833878,433.0,0.7615941559557649,27.03,27.2,0.16999999999999815,,,,,,,,,0.0,,,-0.0030256681316743832,Neutral,
AMBUJACEM,2025-11-01 22:50:27,565.8,0.8999870449540096,-0.2449491070011967,393.0,0.7615941559557649,25.6,25.7,0.09999999999999787,,,,,,,,,0.0,,,0.080833832466787,Neutral,
BANKBARODA,2025-11-01 22:50:27,278.05,0.8071700553200661,-0.44790375826438417,661.0,0.7615941559557649,27.75,27.03,-0.7199999999999989,,,,,,,,,0.0,,,0.003646417818326574,Neutral,
BOSCHLTD,2025-11-01 22:50:27,37300.0,0.4625618811881188,-0.8725330910460676,124.0,0.7615941559557649,23.9,27.61,3.710000000000001,,,,,,,,,0.0,,,-0.046405896723576104,Neutral,
CAMS,2025-11-01 22:50:27,3926.8,0.7510272213662044,-0.5528190207565026,48.0,0.7615941559557649,24.57,29.6,5.030000000000001,,,,,,,,,0.0,,,0.06263254055977868,Neutral,
CUMMINSIND,2025-11-01 22:50:27,4351.0,0.9472075576549042,-0.13122008110740646,-63.0,-0.7615941559557649,27.65,28.8,1.1500000000000021,,,,,,,,,0.0,,,-0.16908202029550778,Neutral,
DALBHARAT,2025-11-01 22:50:27,2100.0,0.5514800514800515,-0.8080205796098273,17.0,0.7615941559557649,19.45,24.66,5.210000000000001,,,,,,,,,0.0,,,-0.013927927096218734,Neutral,
DIVISLAB,2025-11-01 22:50:27,6750.0,0.5947165477069489,-0.7670858779641472,862.0,0.7615941559557649,27.21,27.08,-0.13000000000000256,,,,,,,,,0.0,,,-0.08040634648979958,Neutral,
EICHERMOT,2025-11-01 22:50:27,7014.0,0.9355381165919282,-0.15977394288476773,-983.0,-0.7615941559557649,23.82,24.86,1.0399999999999991,,,,,,,,,0.0,,,-0.17974587607501977,Neutral,
GMRAIRPORT,2025-11-01 22:50:27,93.83,0.3507759202339006,-0.9250669082896356,837.0,0.7615941559557649,26.582,27.432000000000006,0.850000000000005,,,,,,,,,0.0,,,-0.1083631367086561,Neutral,
GRASIM,2025-11-01 22:50:27,2900.0,0.7742426338359386,-0.5112298870742982,1090.0,0.7615941559557649,20.08,23.27,3.1900000000000013,,,,,,,,,0.0,,,0.055303488808965476,Neutral,
HCLTECH,2025-11-01 22:50:27,1540.0,0.8629201680672269,-0.32988533321025915,423.0,0.7615941559557649,20.9,21.28,0.38000000000000256,,,,,,,,,0.0,,,0.06093863242289396,Neutral,
HDFCAMC,2025-11-01 22:50:27,5376.0,0.6219388226596433,-0.7375808072663573,183.0,0.7615941559557649,21.12,25.1,3.9800000000000004,,,,,,,,,0.0,,,-0.002775950385040235,Neutral,
HEROMOTOCO,2025-11-01 22:50:27,5550.0,0.7647759771210677,-0.5284989460428205,316.0,0.7615941559557649,25.18,25.58,0.3999999999999986,,,,,,,,,0.0,,,0.0017521242894199297,Neutral,
HINDPETRO,2025-11-01 22:50:27,476.0,0.7139323990107173,-0.613907950778467,363.0,0.7615941559557649,22.34,32.72,10.379999999999999,,,,,,,,,0.0,,,0.04430586155318936,Neutral,
ICICIGI,2025-11-01 22:50:27,2002.0,0.7543307086614173,-0.5470580689755976,52.0,0.7615941559557649,18.33,21.3,2.9700000000000024,,,,,,,,,0.0,,,0.04147804550067957,Neutral,
ITC,2025-11-01 22:50:27,419.95,0.6606077685406979,-0.6902748554364754,151.0,0.7615941559557649,13.47,13.04,-0.4300000000000015,,,,,,,,,0.0,,,-0.06334248610951584,Neutral,
IOC,2025-11-01 22:50:27,166.25,0.9685961803504627,-0.07834864143714562,1185.0,0.7615941559557649,21.844,24.528,2.6839999999999975,,,,,,,,,0.0,,,0.17787042540671494,Neutral,
INDIGO,2025-11-01 22:50:27,5645.5,0.9179615867194286,-0.2022678637489303,-497.0,-0.7615941559557649,24.76,26.74,1.9799999999999969,,,,,,,,,0.0,,,-0.1753470687240782,Neutral,
JINDALSTEL,2025-11-01 22:50:27,1068.4,1.0459785704597857,0.11444283733624491,-21.0,-0.7615941559557649,23.42,25.68,2.259999999999998,,,,,,,,,0.0,,,-0.07563181804188235,Neutral,
JUBLFOOD,2025-11-01 22:50:27,600.0,0.9533834586466166,-0.1160165869604554,-141.0,-0.7615941559557649,26.63,29.84,3.210000000000001,,,,,,,,,0.0,,,-0.13049782815660393,Neutral,
KFINTECH,2025-11-01 22:50:27,1097.8,0.4262680946216312,-0.8925504824512709,210.0,0.7615941559557649,31.74,36.4,4.66,,,,,,,,,0.0,,,-0.04229381359866975,Neutral,
LTF,2025-11-01 22:50:27,270.55,0.9350713231677324,-0.16091092351382963,351.0,0.7615941559557649,25.93,27.52,1.5899999999999999,,,,,,,,,0.0,,,0.13481529339406628,Neutral,
LT,2025-11-01 22:50:27,4028.0,0.6553009761388287,-0.6971569644210672,6748.0,0.7615941559557649,16.73,17.58,0.8499999999999979,,,,,,,,,0.0,,,-0.03999015354808577,Neutral,
MARICO,2025-11-01 22:50:27,722.0,1.0127840909090908,0.031949349727086906,70.0,0.7615941559557649,21.68,22.71,1.0300000000000011,,,,,,,,,0.0,,,0.18221710495603313,Neutral,
MCX,2025-11-01 22:50:27,9243.0,0.7101090571583263,-0.6198289995719091,297.0,0.7615941559557649,34.89,36.0,1.1099999999999994,,,,,,,,,0.0,,,-0.01178752131059372,Neutral,
NMDC,2025-11-01 22:50:27,75.7,0.6312734721748037,-0.7267555341493228,22.0,0.7615941559557649,24.041999999999998,25.733999999999998,1.6920000000000002,,,,,,,,,0.0,,,-0.03310300570264355,Neutral,
ONGC,2025-11-01 22:50:27,255.79,0.7215871620136294,-0.6018431497089957,71.0,0.7615941559557649,22.39,23.84,1.4499999999999993,,,,,,,,,0.0,,,-2.063245458231236e-05,Neutral,
PFC,2025-11-01 22:50:27,403.0,0.9496811667403245,-0.12513768114741056,-636.0,-0.7615941559557649,21.44,30.64,9.2,,,,,,,,,0.0,,,-0.11370071993979966,Neutral,
PNB,2025-11-01 22:50:27,122.85,0.785021451221787,-0.4910525327417259,1754.0,0.7615941559557649,23.454,25.856,2.402000000000001,,,,,,,,,0.0,,,0.04965946134033232,Neutral,
SBILIFE,2025-11-01 22:50:27,1959.0,0.9563091964558509,-0.10879469280214074,-650.0,-0.7615941559557649,15.74,21.34,5.6,,,,,,,,,0.0,,,-0.10879782343621872,Neutral,
SUZLON,2025-11-01 22:50:27,59.35,0.6480526276444644,-0.7063534018639074,233.0,0.7615941559557649,37.458000000000006,36.977999999999994,-0.4800000000000111,,,,,,,,,0.0,,,-0.06915780648034496,Neutral,
SYNGENE,2025-11-01 22:50:27,652.0,0.9377865094957433,-0.15429158555409234,3.0,0.7615941559557649,29.86,30.36,0.5,,,,,,,,,0.0,,,0.11599815498742085,Neutral,
TATACONSUM,2025-11-01 22:50:27,1163.0,0.5884082318353633,-0.773498696795351,381.0,0.7615941559557649,26.06,24.95,-1.1099999999999994,,,,,,,,,0.0,,,-0.10157312521727835,Neutral,
TVSMOTOR,2025-11-01 22:50:27,3509.0,0.4642941222632033,-0.8714955227278093,1022.0,0.7615941559557649,24.57,24.68,0.10999999999999943,,,,,,,,,0.0,,,-0.10693018049182153,Neutral,
TATAMOTORS,2025-11-01 22:50:27,,,,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,Neutral,
TRENT,2025-11-01 22:50:27,4697.3,0.8771498771498771,-0.29781962768792297,-251.0,-0.7615941559557649,32.15,34.83,2.6799999999999997,,,,,,,,,0.0,,,-0.19266930461211992,Neutral,
UNIONBANK,2025-11-01 22:50:27,148.36,0.8707097149505526,-0.3124207090229755,1812.0,0.7615941559557649,28.62,28.4,-0.22000000000000242,,,,,,,,,0.0,,,0.05419545575376569,Neutral,
IDEA,2025-11-01 22:50:27,8.72,0.49429404414827155,-0.8522356371932491,467.0,0.7615941559557649,62.64,60.794,-1.8460000000000036,,,,,,,,,0.0,,,-0.13868103621793995,Neutral,
ALKEM,2025-11-01 22:50:27,5490.5,1.224287484510533,0.508510492439769,338.0,0.7615941559557649,28.21,26.61,-1.6000000000000014,,,,,,,,,0.0,,,0.27392128680181976,Bullish,
BHEL,2025-11-01 22:50:27,264.5,1.1499066634201769,0.35815400561206784,941.0,0.7615941559557649,26.97,27.91,0.9400000000000013,,,,,,,,,0.0,,,0.2783466309680471,Bullish,
CANBK,2025-11-01 22:50:27,136.69,1.0959563543003852,0.23539268392659093,2854.0,0.7615941559557649,25.968,26.43,0.46199999999999974,,,,,,,,,0.0,,,0.23215042956365914,Bullish,
PETRONET,2025-11-01 22:50:27,281.2,1.2817445712182554,0.6071288527221661,7.0,0.7615941559557649,26.36,25.7,-0.6600000000000001,,,,,,,,,0.0,,,0.32133362202120647,Bullish,
FEDERALBNK,2025-11-01 22:50:27,236.68,0.9787067276290007,-0.053182954301138535,466.0,0.7615941559557649,19.62,23.68,4.059999999999999,,,,,,,,,0.0,,,0.20343315293893371,Bullish,
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,
ADANIENSOL,2025-11-01 22:50:27,980.0,0.5570999666407206,-0.8030881891830067,-742.0,-0.7615941559557649,35.67,35.12,-0.5500000000000043,,,,,,,,,0.0,,,-0.404201134967498,Bearish,
ADANIGREEN,2025-11-01 22:50:27,1135.9,0.845742427451811,-0.36759883688348943,-610.0,-0.7615941559557649,35.26,36.0,0.740000000000002,,,,,,,,,0.0,,,-0.2479056035335499,Bearish,
ABCAPITAL,2025-11-01 22:50:27,325.6,0.7865666553017389,-0.4881154633588347,-458.0,-0.7615941559557649,25.02,26.56,1.5399999999999991,,,,,,,,,0.0,,,-0.26889181714457655,Bearish,
AMBER,2025-11-01 22:50:27,8033.5,0.609981515711645,-0.7509134381603979,-115.0,-0.7615941559557649,30.37,39.96,9.59,,,,,,,,,0.0,,,-0.30143344704369585,Bearish,
ANGELONE,2025-11-01 22:50:27,2494.4,0.779383429672447,-0.5016745867382414,-278.0,-0.7615941559557649,33.53,33.34,-0.18999999999999773,,,,,,,,,0.0,,,-0.3066193792018105,Bearish,
APOLLOHOSP,2025-11-01 22:50:27,7676.5,0.5550903481710004,-0.8048647904702029,-651.0,-0.7615941559557649,22.52,21.43,-1.0899999999999999,,,,,,,,,0.0,,,-0.4152393681672593,Bearish,
ASHOKLEY,2025-11-01 22:50:27,141.4,0.6128150622532645,-0.7478074888098862,-510.0,-0.7615941559557649,16.202,46.274,30.072,,,,,,,,,0.0,,,-0.30050166223854236,Bearish,
ASIANPAINT,2025-11-01 22:50:27,2508.1,0.7319379980733864,-0.585081835576868,-721.0,-0.7615941559557649,23.88,23.81,-0.07000000000000028,,,,,,,,,0.0,,,-0.3292432904047171,Bearish,
ASTRAL,2025-11-01 22:50:27,1447.6,0.5928416056950762,-0.7690081701793814,-297.0,-0.7615941559557649,26.55,29.04,2.4899999999999984,,,,,,,,,0.0,,,-0.33696700136233104,Bearish,
AUROPHARMA,2025-11-01 22:50:27,1144.0,0.8609778238879523,-0.3342058030638554,-500.0,-0.7615941559557649,29.88,29.36,-0.5199999999999996,,,,,,,,,0.0,,,-0.26294323815694365,Bearish,
DMART,2025-11-01 22:50:27,4152.9,0.4922976073418551,-0.8535958740412399,-556.0,-0.7615941559557649,21.25,22.78,1.5300000000000011,,,,,,,,,0.0,,,-0.37871821460001187,Bearish,
AXISBANK,2025-11-01 22:50:27,1232.3,0.6465828385143788,-0.7081897765865793,-12.0,-0.7615941559557649,18.72,17.28,-1.4399999999999977,,,,,,,,,0.0,,,-0.39280506176092006,Bearish,
BSE,2025-11-01 22:50:27,2480.1,0.7368196761232193,-0.5769980693155751,-32.0,-0.7615941559557649,41.07,40.13,-0.9399999999999977,,,,,,,,,0.0,,,-0.3439998500790992,Bearish,
BAJAJ-AUTO,2025-11-01 22:50:27,8900.0,0.7457748724489796,-0.5618707552786275,-879.0,-0.7615941559557649,22.76,27.58,4.819999999999997,,,,,,,,,0.0,,,-0.24627448080775521,Bearish,
BAJFINANCE,2025-11-01 22:50:27,1045.0,0.750222116922348,-0.5542151089161492,-485.0,-0.7615941559557649,26.65,27.35,0.7000000000000028,,,,,,,,,0.0,,,-0.3046741190781519,Bearish,
BAJAJFINSV,2025-11-01 22:50:27,2090.0,0.7360496014171833,-0.5782808832936005,-180.0,-0.7615941559557649,23.88,24.3,0.4200000000000017,,,,,,,,,0.0,,,-0.3174227973764418,Bearish,
BANDHANBNK,2025-11-01 22:50:27,156.55,0.5473425038805331,-0.8115810790621601,-7077.0,-0.7615941559557649,28.69,31.91,3.219999999999999,,,,,,,,,0.0,,,-0.3390314596994291,Bearish,
BANKINDIA,2025-11-01 22:50:27,140.0,0.6566763587564304,-0.695385453875914,-773.0,-0.7615941559557649,27.284000000000002,30.116000000000003,2.8320000000000007,,,,,,,,,0.0,,,-0.3096634155648852,Bearish,
BDL,2025-11-01 22:50:27,1535.0,0.6931780366056572,-0.6452136678328315,-512.0,-0.7615941559557649,35.49,35.15,-0.3400000000000034,,,,,,,,,0.0,,,-0.35267246982390177,Bearish,
BEL,2025-11-01 22:50:27,426.2,0.6683581510135042,-0.6799949380144104,-155.0,-0.7615941559557649,24.91,24.34,-0.5700000000000003,,,,,,,,,0.0,,,-0.3676681831740642,Bearish,
BHARATFORG,2025-11-01 22:50:27,1320.6,0.7081755402094008,-0.6227967919840753,-253.0,-0.7615941559557649,29.21,34.88,5.670000000000002,,,,,,,,,0.0,,,-0.26299845319079906,Bearish,
BPCL,2025-11-01 22:50:27,356.2,0.6482634856961892,-0.7060891695947245,-1318.0,-0.7615941559557649,25.07,28.28,3.210000000000001,,,,,,,,,0.0,,,-0.3075196029468846,Bearish,
BHARTIARTL,2025-11-01 22:50:27,2061.3,0.6206849594879825,-0.7390068297882397,-1286.0,-0.7615941559557649,19.48,20.76,1.2800000000000011,,,,,,,,,0.0,,,-0.34896583932780745,Bearish,
BIOCON,2025-11-01 22:50:27,372.8,0.6280068728522337,-0.7305858851266706,-59.0,-0.7615941559557649,27.3,27.07,-0.23000000000000043,,,,,,,,,0.0,,,-0.3760913549396438,Bearish,
BLUESTARCO,2025-11-01 22:50:27,1932.5,0.62784588441331,-0.730773479796989,-59.0,-0.7615941559557649,30.33,28.09,-2.2399999999999984,,,,,,,,,0.0,,,-0.41357623679119554,Bearish,
BRITANNIA,2025-11-01 22:50:27,5850.0,0.6448473282442748,-0.7103458755994544,-357.0,-0.7615941559557649,22.36,23.34,0.9800000000000004,,,,,,,,,0.0,,,-0.3460697807259,Bearish,
CGPOWER,2025-11-01 22:50:27,735.85,0.6629718875502008,-0.6871680540541241,-283.0,-0.7615941559557649,24.55,26.24,1.6899999999999977,,,,,,,,,0.0,,,-0.325900176419258,Bearish,
CDSL,2025-11-01 22:50:27,1591.0,0.6775463185178074,-0.6674521736224159,-1092.0,-0.7615941559557649,31.95,31.64,-0.3099999999999987,,,,,,,,,0.0,,,-0.3587465512073395,Bearish,
CHOLAFIN,2025-11-01 22:50:27,1701.0,0.6226280834914611,-0.736794094662892,-152.0,-0.7615941559557649,25.22,33.49,8.270000000000003,,,,,,,,,0.0,,,-0.2971976439944441,Bearish,
CIPLA,2025-11-01 22:50:27,1501.5,0.45529950942421893,-0.8767986156772025,-4320.0,-0.7615941559557649,21.13,23.39,2.2600000000000016,,,,,,,,,0.0,,,-0.3730042539459165,Bearish,
COALINDIA,2025-11-01 22:50:27,389.2,0.7987009612886464,-0.4646673861108669,-257.0,-0.7615941559557649,15.6,19.23,3.630000000000001,,,,,,,,,0.0,,,-0.22965783800319856,Bearish,
COFORGE,2025-11-01 22:50:27,1785.0,0.5172182656053623,-0.8357635578776111,-176.0,-0.7615941559557649,27.05,27.32,0.2699999999999996,,,,,,,,,0.0,,,-0.3976531412394534,Bearish,
COLPAL,2025-11-01 22:50:27,2250.0,0.7085793242055018,-0.6221784886294781,-239.0,-0.7615941559557649,11.97,27.38,15.409999999999998,,,,,,,,,0.0,,,-0.2628129621844199,Bearish,
CONCOR,2025-11-01 22:50:27,546.95,0.8230942425217112,-0.41551963460522173,-290.0,-0.7615941559557649,21.94,29.11,7.169999999999998,,,,,,,,,0.0,,,-0.20081530597714303,Bearish,
CROMPTON,2025-11-01 22:50:27,282.85,0.7101998621640249,-0.6196891828678648,-375.0,-0.7615941559557649,32.68,32.5,-0.17999999999999972,,,,,,,,,0.0,,,-0.3418240316573054,Bearish,
CYIENT,2025-11-01 22:50:27,1165.2,0.6029814420444174,-0.7584460205810767,-484.0,-0.7615941559557649,27.14,28.33,1.1899999999999977,,,,,,,,,0.0,,,-0.35649205952605423,Bearish,
DLF,2025-11-01 22:50:27,757.75,0.6644646477859899,-0.6851933017065418,-3205.0,-0.7615941559557649,23.49,22.84,-0.6499999999999986,,,,,,,,,0.0,,,-0.37080408006372134,Bearish,
DABUR,2025-11-01 22:50:27,488.1,0.5332871012482663,-0.8232378982476095,-1752.0,-0.7615941559557649,16.52,21.83,5.309999999999999,,,,,,,,,0.0,,,-0.3231307850698593,Bearish,
DELHIVERY,2025-11-01 22:50:27,466.7,0.6531379180759113,-0.6999258777896105,-74.0,-0.7615941559557649,32.9,33.47,0.5700000000000003,,,,,,,,,0.0,,,-0.35094572394944795,Bearish,
DIXON,2025-11-01 22:50:27,15492.0,0.5545823897695484,-0.8053115816301579,-1539.0,-0.7615941559557649,29.19,28.22,-0.9700000000000024,,,,,,,,,0.0,,,-0.41307253516889,Bearish,
DRREDDY,2025-11-01 22:50:27,1198.0,0.47063545715734323,-0.8676297799230296,-1196.0,-0.7615941559557649,18.09,26.22,8.129999999999999,,,,,,,,,0.0,,,-0.3364483495724854,Bearish,
ETERNAL,2025-11-01 22:50:27,318.0,0.5000552587953583,-0.8482448969482859,-6645.0,-0.7615941559557649,28.65,28.75,0.10000000000000142,,,,,,,,,0.0,,,-0.4047925668996456,Bearish,
EXIDEIND,2025-11-01 22:50:27,382.2,0.8374038591283227,-0.38548862071782247,-1049.0,-0.7615941559557649,27.84,30.64,2.8000000000000007,,,,,,,,,0.0,,,-0.21716767411671006,Bearish,
NYKAA,2025-11-01 22:50:27,248.47,0.7279740154283394,-0.5915616255462449,-712.0,-0.7615941559557649,30.62,31.44,0.8200000000000003,,,,,,,,,0.0,,,-0.3135327855331813,Bearish,
FORTIS,2025-11-01 22:50:27,1024.7,0.5802738021157436,-0.781540094001099,-389.0,-0.7615941559557649,28.5,31.41,2.91,,,,,,,,,0.0,,,-0.3343691042415688,Bearish,
GAIL,2025-11-01 22:50:27,182.2,0.6174334140435835,-0.7426741567608515,-2119.0,-0.7615941559557649,21.93,29.05,7.120000000000001,,,,,,,,,0.0,,,-0.29896166262383195,Bearish,
GLENMARK,2025-11-01 22:50:27,1891.9,0.7221625492302184,-0.6009249223179282,-104.0,-0.7615941559557649,30.11,30.6,0.490000000000002,,,,,,,,,0.0,,,-0.322827560897121,Bearish,
GODREJCP,2025-11-01 22:50:27,1119.9,0.5782312925170068,-0.7835195141350522,-957.0,-0.7615941559557649,21.5,28.87,7.370000000000001,,,,,,,,,0.0,,,-0.31121526983609216,Bearish,
GODREJPROP,2025-11-01 22:50:27,2285.9,0.6806708453328816,-0.6630981269385023,-277.0,-0.7615941559557649,34.03,31.77,-2.2600000000000016,,,,,,,,,0.0,,,-0.3936024312211009,Bearish,
HDFCBANK,2025-11-01 22:50:27,987.95,0.7832614691372412,-0.49438429522046984,-2281.0,-0.7615941559557649,16.66,16.77,0.10999999999999943,,,,,,,,,0.0,,,-0.2984344746219256,Bearish,
HDFCLIFE,2025-11-01 22:50:27,731.0,0.57643128671812,-0.7852508409181289,-1374.0,-0.7615941559557649,18.56,18.41,-0.14999999999999858,,,,,,,,,0.0,,,-0.3908931837904736,Bearish,
HFCL,2025-11-01 22:50:27,73.48,0.5127779197546639,-0.8390795594482349,-157.0,-0.7615941559557649,40.156,41.828,1.6720000000000041,,,,,,,,,0.0,,,-0.37179581761071523,Bearish,
HAVELLS,2025-11-01 22:50:27,1491.0,0.702312925170068,-0.6316866293131779,-314.0,-0.7615941559557649,19.27,20.38,1.1099999999999994,,,,,,,,,0.0,,,-0.3199824726152803,Bearish,
HINDALCO,2025-11-01 22:50:27,849.0,0.9335196527323542,-0.1646872825607264,-876.0,-0.7615941559557649,26.67,26.73,0.05999999999999872,,,,,,,,,0.0,,,-0.20052507355605337,Bearish,
